Seed,DetectorJitterPs,TdcJitterPs,TdcResolutionPs,MaxTrueSigmaPs,MaxFwhmPs,MaxPeakErrorPs,MaxRecall,MaxF1,GaussianTrueSigmaPs,GaussianFwhmPs,GaussianPeakErrorPs,GaussianRecall,GaussianF1
1,0,10,10,14.7208650308736,199.984717200081,-4.1759321507992,1,0.999870724203015,14.7208650308736,70.8351203768422,-1.5149655941684,1,0.999870724203015
1,50,10,10,71.891740662964,199.984717200081,-2.02461602109899,1,0.999844873054449,71.891740662964,181.957386738011,-1.80621677666216,1,0.999844873054449
1,100,10,10,141.451176017765,399.969434400162,-2.43762993762958,1,0.999870724203015,141.451176017765,334.95687940691,-2.29987113844612,1,0.999870724203015
1,150,10,10,211.622731228497,499.961793000202,-12.8714470284234,1,0.999870724203015,211.622731228497,495.564263948801,-2.45087055286527,1,0.999870724203015
1,200,10,10,281.771870601105,599.954151600242,-2.10272513177138,1,0.999870724203015,281.771870601105,656.023342551987,-2.98104302126809,1,0.999870724203015
1,300,10,10,422.444101204702,999.923586000404,-1.59239317218377,0.999482829954489,0.999612072309721,422.444101204702,985.71898500374,-2.35665771110769,0.999482829954489,0.999612072309721
1,500,10,10,703.828515895053,1599.87773760064,1.29679471495013,0.964935870914357,0.982,703.828515895053,1643.39897105194,-2.45656884471099,0.965297889946214,0.98218749177783
1,150,0,10,211.163537645484,599.954151600242,-2.95698924731175,1,0.999870724203015,211.163537645484,492.466760026186,-2.32627113091726,1,0.999870724203015
1,150,5,10,211.231585508312,399.969434400162,-2.57885176418832,1,0.999870724203015,211.231585508312,492.511369659956,-2.59298372412235,1,0.999870724203015
1,150,20,10,212.995432853981,499.961793000202,-13.210702341137,1,0.999870724203015,212.995432853981,499.55466622596,-2.35508380751896,1,0.999870724203015
1,150,50,10,222.521091429642,599.954151600242,-3.35067969413727,1,0.999870724203015,222.521091429642,520.743568624573,-1.97625687445206,1,0.999870724203015
1,150,100,10,253.912071703696,599.954151600242,-2.10024516480538,1,0.999870724203015,253.912071703696,597.644314654128,-1.12523052946179,1,0.999870724203015
1,150,10,1,211.550811501294,599.954151600242,-2.47232472324709,1,0.999870724203015,211.550811501294,498.770159449278,-1.11435537168314,1,0.999870724203015
1,150,10,5,211.557843584393,599.954151600242,-2.70455504006793,1,0.999870724203015,211.557843584393,496.899494279943,-1.66994147576941,1,0.999870724203015
